score_type,decile,n,score_min,score_max,value_hat,ci_low,ci_high,estimator,nondecreasing_steps,total_steps,nondecreasing_share
dprofit_mens,0,6400,-10.20394747195925,-0.36309025576073856,0.11504998123697316,-0.3112439805481342,0.5611287636873695,dr,5,9,0.5555555555555556
dprofit_mens,1,6426,-0.3629732421440929,-0.06415261491101491,0.6842943957134828,0.2833467025758612,1.1406060675748795,dr,5,9,0.5555555555555556
dprofit_mens,2,7317,-0.06414614155735214,-0.01,0.26321392131909443,0.007903607887606572,0.5718853924953196,dr,5,9,0.5555555555555556
dprofit_mens,3,5458,-0.00998260799856743,0.024065326953748002,0.40653956230960103,0.0385453568481209,0.7868879853136593,dr,5,9,0.5555555555555556
dprofit_mens,4,6404,0.024085380116959057,0.09174208997964374,0.10508172649960348,-0.1554270361768847,0.378655693588725,dr,5,9,0.5555555555555556
dprofit_mens,5,6395,0.09177108624708626,0.19768943760742852,0.25880224416850806,-0.10951164615747838,0.6508818642342271,dr,5,9,0.5555555555555556
dprofit_mens,6,6400,0.19769391937744263,0.3715080366905121,0.09031809546820777,-0.1982827496289853,0.38098896884889594,dr,5,9,0.5555555555555556
dprofit_mens,7,6400,0.37154151416843284,0.6586071304945746,0.38363292300504725,0.06900298209613313,0.7080716567586374,dr,5,9,0.5555555555555556
dprofit_mens,8,6400,0.6586313399370237,1.3169776185160824,0.5040731026903386,0.1354986551363532,0.9023085120574782,dr,5,9,0.5555555555555556
dprofit_mens,9,6400,1.3171400239481903,12.860603703569295,0.24483405165954927,-0.149802717889206,0.6199015175904414,dr,5,9,0.5555555555555556
cate_mens,0,6400,-25.484868679898124,-0.8827256394018463,0.11504998123697316,-0.30973811934363665,0.5766083129061075,dr,5,9,0.5555555555555556
cate_mens,1,6426,-0.8824331053602321,-0.1353815372775373,0.6842943957134828,0.2774780293566904,1.1444388212259196,dr,5,9,0.5555555555555556
cate_mens,2,7317,-0.13536535389338034,0.0,0.26321392131909443,0.000863286188819796,0.5821829347122557,dr,5,9,0.5555555555555556
cate_mens,3,5458,4.348000358142534e-05,0.08516331738437001,0.40653956230960103,0.04826702229996072,0.8007487057456889,dr,5,9,0.5555555555555556
cate_mens,4,6404,0.08521345029239764,0.25435522494910934,0.10508172649960348,-0.1577209060492229,0.3723928370542192,dr,5,9,0.5555555555555556
cate_mens,5,6395,0.2544277156177156,0.5192235940185713,0.25880224416850806,-0.1276441977580117,0.660999509706279,dr,5,9,0.5555555555555556
cate_mens,6,6400,0.5192347984436065,0.9537700917262801,0.09031809546820777,-0.23418473998679287,0.3888811153296182,dr,5,9,0.5555555555555556
cate_mens,7,6400,0.9538537854210821,1.6715178262364365,0.38363292300504725,0.06554202703824732,0.7025567455775696,dr,5,9,0.5555555555555556
cate_mens,8,6400,1.6715783498425592,3.317444046290206,0.5040731026903386,0.15284261111414352,0.9154860687466077,dr,5,9,0.5555555555555556
cate_mens,9,6400,3.3178500598704757,32.17650925892323,0.24483405165954927,-0.1253909336469826,0.6415560729415088,dr,5,9,0.5555555555555556
history,0,12800,29.99,50.29,0.26480240056468035,0.030434141854983738,0.5198336506148824,dr,4,8,0.5
history,1,6400,50.3,80.18,0.19929803888379674,-0.13737039850798619,0.5444996690036028,dr,4,8,0.5
history,2,6401,80.19,115.28,0.16922840237082207,-0.07503929196552887,0.4294078811192401,dr,4,8,0.5
history,3,6400,115.31,158.11,0.10392229825400667,-0.17300492253908992,0.4349322549687733,dr,4,8,0.5
history,4,6400,158.12,210.81,0.4047625142899629,0.14413105394209275,0.7124216336519997,dr,4,8,0.5
history,5,6400,210.84,281.21,0.10532996126713787,-0.2948737497613435,0.47837303203996295,dr,4,8,0.5
history,6,6399,281.26,382.03,0.41070365012970855,-0.0366328584871433,0.857934388114549,dr,4,8,0.5
history,7,6400,382.04,561.19,0.4258207808014881,0.06615882302938958,0.8259703347736769,dr,4,8,0.5
history,8,6400,561.23,3345.93,0.6877267980965328,0.264527763486942,1.1030690349223191,dr,4,8,0.5
recency,0,13401,-12.0,-10.0,0.27050755766571727,0.05092731833456252,0.5118170497762593,dr,4,7,0.5714285714285714
recency,1,6441,-9.0,-9.0,0.3426128792310047,0.06710785134964109,0.6279272396150665,dr,4,7,0.5714285714285714
recency,2,7573,-8.0,-7.0,0.17937362430201192,-0.16877644256348526,0.5190982213388456,dr,4,7,0.5714285714285714
recency,3,4605,-6.0,-6.0,0.1169826733914822,-0.28399570437087013,0.5613441271272079,dr,4,7,0.5714285714285714
recency,4,9587,-5.0,-4.0,0.2212248926822377,0.020455637267052046,0.4255735135212546,dr,4,7,0.5714285714285714
recency,5,5904,-3.0,-3.0,0.5735462136299511,0.12382084269638162,1.0704020578212972,dr,4,7,0.5714285714285714
recency,6,7537,-2.0,-2.0,0.3300509665427724,-0.0642481319402567,0.7596484536858377,dr,4,7,0.5714285714285714
recency,7,8952,-1.0,-1.0,0.4143279562910475,0.08249565373434166,0.7716993381370489,dr,4,7,0.5714285714285714
