policy,estimator,value_hat,ci_low,ci_high,treated_rate,notes
treat_none,ipw,0.26078118750000007,0.20122334531250002,0.3256503796875,0.0,oof_crossfit_binary
treat_none,dr,0.2550793311188157,0.19514824018324645,0.3190545206390385,0.0,oof_crossfit_binary
treat_all_mens,ipw,0.5583565312500001,0.46885141640625,0.6583012453125001,1.0,oof_crossfit_binary
treat_all_mens,dr,0.5587152825903511,0.4692963786399609,0.6545955106200974,1.0,oof_crossfit_binary
send_or_not_mens,ipw,0.43967700000000004,0.36183907968750006,0.5241043921875,0.653234375,oof_crossfit_binary
send_or_not_mens,dr,0.43348236033051063,0.35548720856241,0.5134291050917017,0.653234375,oof_crossfit_binary
top_k_mens_0.01,ipw,0.26407378125000003,0.20322609609375003,0.32959227890625004,0.01,oof_crossfit_binary
top_k_mens_0.01,dr,0.2602084203598645,0.19772526242965205,0.32407769331986236,0.01,oof_crossfit_binary
top_k_mens_0.05,ipw,0.27686296875000005,0.21366000937500004,0.3463557046875,0.05,oof_crossfit_binary
top_k_mens_0.05,dr,0.2683492464008808,0.20522035613949094,0.33724553061012397,0.05,oof_crossfit_binary
top_k_mens_0.10,ipw,0.29025890625000006,0.22736610468750004,0.35483224921875006,0.1,oof_crossfit_binary
top_k_mens_0.10,dr,0.27956273628477063,0.21664152822984442,0.34865888395119693,0.1,oof_crossfit_binary
top_k_mens_0.20,ipw,0.3381357187500001,0.27130871250000005,0.4133212875000001,0.2,oof_crossfit_binary
top_k_mens_0.20,dr,0.3299700465538045,0.26070089888760406,0.40782504634226013,0.2,oof_crossfit_binary
top_k_mens_0.50,ipw,0.41207118750000005,0.33863910703125005,0.49050429609375007,0.5,oof_crossfit_binary
top_k_mens_0.50,dr,0.40590901376203137,0.33244596273977056,0.4870419166330316,0.5,oof_crossfit_binary
