k,estimator,value_hat,ci_low,ci_high,treated_rate
0.01,ipw,0.26407378125000003,0.20322609609375003,0.32959227890625004,0.01
0.01,dr,0.2602084203598645,0.19772526242965205,0.32407769331986236,0.01
0.05,ipw,0.27686296875000005,0.21366000937500004,0.3463557046875,0.05
0.05,dr,0.2683492464008808,0.20522035613949094,0.33724553061012397,0.05
0.1,ipw,0.29025890625000006,0.22736610468750004,0.35483224921875006,0.1
0.1,dr,0.27956273628477063,0.21664152822984442,0.34865888395119693,0.1
0.2,ipw,0.3381357187500001,0.27130871250000005,0.4133212875000001,0.2
0.2,dr,0.3299700465538045,0.26070089888760406,0.40782504634226013,0.2
0.5,ipw,0.41207118750000005,0.33863910703125005,0.49050429609375007,0.5
0.5,dr,0.40590901376203137,0.33244596273977056,0.4870419166330316,0.5
