group,level,n,n_mens,n_control,tau_hat_spend,ci_low_spend,ci_high_spend,tau_hat_profit,ci_low_profit,ci_high_profit
history_segment,1) $0 - $100,15336,7724,7612,0.5382830109889453,0.11981964624323717,0.9542279973966532,0.20531320439557812,0.03535142675864346,0.37206060182442463
history_segment,2) $100 - $200,9527,4691,4836,0.7042485117040373,0.21390385704177392,1.2100836736912746,0.2716994046816149,0.08297596366976237,0.47462152173027605
history_segment,3) $200 - $350,8134,4090,4044,0.5365812916113462,-0.12459631229458835,1.2838573986575539,0.20463251664453858,-0.08049866676823894,0.49745114944655233
history_segment,4) $350 - $500,4221,2097,2124,1.5689400313603774,0.4419241465814763,2.7967563438083456,0.6175760125441512,0.14109966538153795,1.1071422625542542
history_segment,5) $500 - $750,3249,1597,1652,1.103010066544262,0.19508665536622072,2.135966251226194,0.4312040266177047,0.08107599520741818,0.8473070713701989
history_segment,"6) $750 - $1,000",1266,644,622,1.5341463621657245,0.40150157526312624,2.8823877868426826,0.6036585448662899,0.1335365880449761,1.146440880449761
history_segment,"7) $1,000 +",880,464,416,1.3220673076923077,-2.3719124461206897,4.869865384615384,0.5188269230769231,-1.0551834714854111,2.026744786140583
newbie,0,21232,10621,10611,0.5779669050857943,0.1306282704546218,1.028161318895656,0.22118676203431764,0.037753572093012666,0.39570321226289074
newbie,1,21381,10686,10695,0.9600198419292101,0.6152223618993694,1.32414781999045,0.3740079367716841,0.2265839368415084,0.5246614597621405
channel,Multichannel,5183,2577,2606,1.2091294052619086,0.4671688373387463,2.011310430304562,0.47365176210476356,0.1566861954041164,0.7996834285584948
channel,Phone,18567,9240,9327,0.5640743919691333,0.1707130162275003,0.9679371129272785,0.21562975678765323,0.05767387443798833,0.37447684819174576
channel,Web,18863,9490,9373,0.8504486670398359,0.40818100555515774,1.3195159515308468,0.3301794668159345,0.1512784596969727,0.5212766764489667
recency_quartile,Q1,11008,5506,5502,0.9235557409827393,0.22464963196357074,1.6621694700754717,0.35942229639309586,0.09435492408862846,0.6314547088249651
recency_quartile,Q2,13338,6636,6702,0.759503013324138,0.3251793994991104,1.2493135078028579,0.29380120532965515,0.10965130722631178,0.4923261973025783
recency_quartile,Q3,9387,4688,4699,0.6050864572884942,0.045911180928953604,1.1442676308752788,0.23203458291539775,0.017173402776315072,0.43751814160862773
recency_quartile,Q4,8880,4477,4403,0.7720818074828771,0.24532665744430443,1.3294891330666725,0.29883272299315083,0.07189587677822964,0.5309957476401327
history_quartile,Q1,10654,5392,5262,0.6299270467841205,0.08271029160632694,1.2189404084820394,0.24197081871364814,0.007939244747345801,0.47729408218546965
history_quartile,Q2,10653,5253,5400,0.4012195496753179,0.01085229633331223,0.8391395040664595,0.1504878198701272,-0.01295995750576383,0.32514325916407555
history_quartile,Q3,10653,5335,5318,0.6536772810630942,0.07777677663136265,1.2199548726663663,0.25147091242523756,0.0329892719109615,0.47939361380228684
history_quartile,Q4,10653,5327,5326,1.3899253070024031,0.7567167496304928,2.07625607419877,0.5459701228009615,0.26602035276682656,0.8240464443706774
