covariate,arm,smd,abs_smd
recency,mens,0.006831532454259954,0.006831532454259954
history,mens,0.007612868321542392,0.007612868321542392
mens,mens,-0.004582325637487962,0.004582325637487962
womens,mens,0.0075889296918871425,0.0075889296918871425
newbie,mens,-0.0008918953696535326,0.0008918953696535326
history_segment:1) $0 - $100,mens,0.010916720554376393,0.010916720554376393
history_segment:2) $100 - $200,mens,-0.016359543173779502,0.016359543173779502
history_segment:3) $200 - $350,mens,0.005470713585408414,0.005470713585408414
history_segment:4) $350 - $500,mens,-0.004257423463175293,0.004257423463175293
history_segment:5) $500 - $750,mens,-0.009740129383845251,0.009740129383845251
"history_segment:6) $750 - $1,000",mens,0.006073217597584176,0.006073217597584176
"history_segment:7) $1,000 +",mens,0.015834592826810663,0.015834592826810663
zip_code:Rural,mens,0.01365900039927897,0.01365900039927897
zip_code:Surburban,mens,-0.01174335672606268,0.01174335672606268
zip_code:Urban,mens,0.0019722315768513645,0.0019722315768513645
channel:Multichannel,mens,-0.004181536419632754,0.004181536419632754
channel:Phone,mens,-0.008275992307117473,0.008275992307117473
channel:Web,mens,0.0110135883544283,0.0110135883544283
recency,womens,0.005180013205688683,0.005180013205688683
history,womens,0.006510722458553667,0.006510722458553667
mens,womens,-0.008630731202832915,0.008630731202832915
womens,womens,0.004946313992582152,0.004946313992582152
newbie,womens,0.00255670091407956,0.00255670091407956
history_segment:1) $0 - $100,womens,-0.0006771130829583109,0.0006771130829583109
history_segment:2) $100 - $200,womens,-0.014286147854542703,0.014286147854542703
history_segment:3) $200 - $350,womens,0.011350888687263824,0.011350888687263824
history_segment:4) $350 - $500,womens,0.008677899940116288,0.008677899940116288
history_segment:5) $500 - $750,womens,0.0006499424018974358,0.0006499424018974358
"history_segment:6) $750 - $1,000",womens,-0.008819306801837288,0.008819306801837288
"history_segment:7) $1,000 +",womens,0.0034993920645670033,0.0034993920645670033
zip_code:Rural,womens,0.00395850560137286,0.00395850560137286
zip_code:Surburban,womens,-0.0010891197386245202,0.0010891197386245202
zip_code:Urban,womens,-0.0017628666291550237,0.0017628666291550237
channel:Multichannel,womens,-0.00528289712504171,0.00528289712504171
channel:Phone,womens,0.008622833281250202,0.008622833281250202
channel:Web,womens,-0.005147863897421753,0.005147863897421753
