section,column,dtype,missing_count,missing_pct,arm,count,n,visit_rate,conversion_rate,mean_spend
schema,recency,int64,,,,,,,,
schema,history_segment,object,,,,,,,,
schema,history,float64,,,,,,,,
schema,mens,int64,,,,,,,,
schema,womens,int64,,,,,,,,
schema,zip_code,object,,,,,,,,
schema,newbie,int64,,,,,,,,
schema,channel,object,,,,,,,,
schema,segment,object,,,,,,,,
schema,visit,int64,,,,,,,,
schema,conversion,int64,,,,,,,,
schema,spend,float64,,,,,,,,
missingness,recency,,0.0,0.0,,,,,,
missingness,history_segment,,0.0,0.0,,,,,,
missingness,history,,0.0,0.0,,,,,,
missingness,mens,,0.0,0.0,,,,,,
missingness,womens,,0.0,0.0,,,,,,
missingness,zip_code,,0.0,0.0,,,,,,
missingness,newbie,,0.0,0.0,,,,,,
missingness,channel,,0.0,0.0,,,,,,
missingness,segment,,0.0,0.0,,,,,,
missingness,visit,,0.0,0.0,,,,,,
missingness,conversion,,0.0,0.0,,,,,,
missingness,spend,,0.0,0.0,,,,,,
arm_counts,,,,,womens e-mail,21387.0,,,,
arm_counts,,,,,mens e-mail,21307.0,,,,
arm_counts,,,,,no e-mail,21306.0,,,,
outcome_summary,,,,,mens e-mail,,21307.0,0.18275684047496127,0.01253109306800582,1.4226165110057727
outcome_summary,,,,,no e-mail,,21306.0,0.10616727682343002,0.005726086548390125,0.6527893551112363
outcome_summary,,,,,womens e-mail,,21387.0,0.151400383410483,0.008837144059475383,1.0772015710478329
