arm,x_removed,top_share,section,notes,uplift_after_removal_profit,uplift_after_removal_spend,n,n_pos,pos_rate
control,0.001,0.4623768633617408,top_share,rank_top_share,,,21306,122,0.005726086548390125
mens,0.001,0.29710616597095046,top_share,rank_top_share,,,21307,267,0.01253109306800582
womens,0.001,0.33801600912574864,top_share,rank_top_share,,,21387,189,0.008837144059475383
control,0.005,0.9676560737342298,top_share,rank_top_share,,,21306,122,0.005726086548390125
mens,0.005,0.7619185865255286,top_share,rank_top_share,,,21307,267,0.01253109306800582
womens,0.005,0.8585100947951024,top_share,rank_top_share,,,21387,189,0.008837144059475383
control,0.01,1.0,top_share,rank_top_share;top_share_1pct_can_be_1_when_pos_rate_lt_1pct,,,21306,122,0.005726086548390125
mens,0.01,0.9475624750714987,top_share,rank_top_share;top_share_1pct_can_be_1_when_pos_rate_lt_1pct,,,21307,267,0.01253109306800582
womens,0.01,1.0,top_share,rank_top_share;top_share_1pct_can_be_1_when_pos_rate_lt_1pct,,,21387,189,0.008837144059475383
control,0.001,0.03587777971906045,top_share_converters,rank_top_share_converters,,,21306,122,0.005726086548390125
mens,0.001,0.01646229556979502,top_share_converters,rank_top_share_converters,,,21307,267,0.01253109306800582
womens,0.001,0.02165976288853556,top_share_converters,rank_top_share_converters,,,21387,189,0.008837144059475383
control,0.005,0.03587777971906045,top_share_converters,rank_top_share_converters,,,21306,122,0.005726086548390125
mens,0.005,0.03292459113959004,top_share_converters,rank_top_share_converters,,,21307,267,0.01253109306800582
womens,0.005,0.02165976288853556,top_share_converters,rank_top_share_converters,,,21387,189,0.008837144059475383
control,0.01,0.0717555594381209,top_share_converters,rank_top_share_converters,,,21306,122,0.005726086548390125
mens,0.01,0.049386886709385056,top_share_converters,rank_top_share_converters,,,21307,267,0.01253109306800582
womens,0.01,0.04331952577707112,top_share_converters,rank_top_share_converters,,,21387,189,0.008837144059475383
mens,0.001,,uplift_after_removal,rank_remove_within_arm;control_trimmed,0.24986579624295904,0.6496644906073981,21307,267,0.01253109306800582
womens,0.001,,uplift_after_removal,rank_remove_within_arm;control_trimmed,0.1350028231005004,0.3625070577512511,21387,189,0.008837144059475383
mens,0.005,,uplift_after_removal,rank_remove_within_arm;control_trimmed,0.11767507131432864,0.31918767828582156,21307,267,0.01253109306800582
womens,0.005,,uplift_after_removal,rank_remove_within_arm;control_trimmed,0.04278366827843702,0.13195917069609256,21387,189,0.008837144059475383
mens,0.01,,uplift_after_removal,rank_remove_within_arm;control_trimmed,0.02014213246100603,0.07535533115251504,21307,267,0.01253109306800582
womens,0.01,,uplift_after_removal,rank_remove_within_arm;control_trimmed,-0.009999999999999998,0.0,21387,189,0.008837144059475383
mens,0.02,,uplift_after_removal,rank_remove_within_arm;control_trimmed,-0.009999999999999998,0.0,21307,267,0.01253109306800582
womens,0.02,,uplift_after_removal,rank_remove_within_arm;control_trimmed,-0.009999999999999998,0.0,21387,189,0.008837144059475383
