arm,margin,email_cost,tau_hat,mes_pass
mens,0.3,0.005,0.22594814676836095,True
womens,0.3,0.005,0.12232366478097895,True
mens,0.3,0.01,0.22094814676836083,True
womens,0.3,0.01,0.11732366478097894,True
mens,0.3,0.02,0.21094814676836093,True
womens,0.3,0.02,0.10732366478097893,True
mens,0.4,0.005,0.30293086235781463,True
womens,0.4,0.005,0.16476488637463865,True
mens,0.4,0.01,0.29793086235781463,True
womens,0.4,0.01,0.1597648863746387,True
mens,0.4,0.02,0.2879308623578146,True
womens,0.4,0.02,0.14976488637463864,True
mens,0.5,0.005,0.3799135779472684,True
womens,0.5,0.005,0.20720610796829847,True
mens,0.5,0.01,0.37491357794726826,True
womens,0.5,0.01,0.20220610796829835,True
mens,0.5,0.02,0.36491357794726825,True
womens,0.5,0.02,0.19220610796829823,True
