metric,method,arm,tau_hat,ci_lower,ci_upper,cap_value,trim_threshold,n_pos_t,n_pos_c,n_capped_t,n_capped_c,n_trim_t,n_trim_c,seed,B,notes
profit,baseline_mean,mens,0.29793086235781463,0.18502501944734118,0.4148625332793505,0.0,0.0,267,122,0,0,0,0,20240101,10000,primary_ate
spend,baseline_mean,mens,0.7698271558945368,0.4918866213583234,1.056729665563401,0.0,0.0,267,122,0,0,0,0,20240101,10000,primary_ate
profit,winsorize_pos_p95,mens,0.28497856191475723,0.18286061118393068,0.39171110624297395,362.2,0.0,267,122,14,7,0,0,20240101,10000,sensitivity;pooled_pos_cap
spend,winsorize_pos_p95,mens,0.7374464047868928,0.4821515279598266,1.004277765607435,362.2,0.0,267,122,14,7,0,0,20240101,10000,sensitivity;pooled_pos_cap
profit,winsorize_pos_p975,mens,0.2931491870738465,0.1859008778023313,0.40596303541954754,444.66925,0.0,267,122,7,3,0,0,20240101,10000,sensitivity;pooled_pos_cap
spend,winsorize_pos_p975,mens,0.7578729676846161,0.4897521945058282,1.0399075885488689,444.66925,0.0,267,122,7,3,0,0,20240101,10000,sensitivity;pooled_pos_cap
profit,trim_pos_top_1pct,mens,0.29796064764185703,0.17750362356915028,0.39077992505317566,0.0,499.0,267,122,0,0,2,2,20240101,10000,sensitivity;pooled_pos_rank_trim;ties_by_id
spend,trim_pos_top_1pct,mens,0.7699016191046427,0.4687590589228756,1.001949812632939,0.0,499.0,267,122,0,0,2,2,20240101,10000,sensitivity;pooled_pos_rank_trim;ties_by_id
spend,log1p_spend,mens,0.02924148647244113,0.021400963935881628,0.037285947748481596,0.0,0.0,267,122,0,0,0,0,20240101,10000,secondary_scale_not_dollars
profit,remove_top_by_rank_0.001,mens,0.24986579624295904,0.16207009341104475,0.3457458166294704,0.0,0.0,267,122,0,0,22,22,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.001,mens,0.6496644906073981,0.43017523352761194,0.889364541573676,0.0,0.0,267,122,0,0,22,22,20240101,10000,rank_remove_within_arm;ties_by_id
profit,remove_top_by_rank_0.005,mens,0.11767507131432864,0.07808880123773193,0.16360860783816789,0.0,0.0,267,122,0,0,107,107,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.005,mens,0.31918767828582156,0.22022200309432988,0.4340215195954197,0.0,0.0,267,122,0,0,107,107,20240101,10000,rank_remove_within_arm;ties_by_id
profit,remove_top_by_rank_0.01,mens,0.02014213246100603,0.003066330062105927,0.03890987531408525,0.0,0.0,267,122,0,0,214,214,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.01,mens,0.07535533115251504,0.03266582515526481,0.1222746882852131,0.0,0.0,267,122,0,0,214,214,20240101,10000,rank_remove_within_arm;ties_by_id
profit,remove_top_by_rank_0.02,mens,-0.009999999999999998,-0.009999999999999998,-0.009999999999999998,0.0,0.0,267,122,0,0,427,427,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.02,mens,0.0,0.0,0.0,0.0,0.0,267,122,0,0,427,427,20240101,10000,rank_remove_within_arm;ties_by_id
profit,baseline_mean,womens,0.1597648863746387,0.05820091442074241,0.2626021972049411,0.0,0.0,189,122,0,0,0,0,20240101,10000,primary_ate
spend,baseline_mean,womens,0.4244122159365967,0.1653075817875189,0.6844158184683127,0.0,0.0,189,122,0,0,0,0,20240101,10000,primary_ate
profit,winsorize_pos_p95,womens,0.1553956944001637,0.060299325149910335,0.25274708809191027,362.2,0.0,189,122,7,7,0,0,20240101,10000,sensitivity;pooled_pos_cap
spend,winsorize_pos_p95,womens,0.4134892360004089,0.17574831287477571,0.6568677202297756,362.2,0.0,189,122,7,7,0,0,20240101,10000,sensitivity;pooled_pos_cap
profit,winsorize_pos_p975,womens,0.1574063051189109,0.058922180216351136,0.26199134366263815,444.66925,0.0,189,122,5,3,0,0,20240101,10000,sensitivity;pooled_pos_cap
spend,winsorize_pos_p975,womens,0.4185157627972773,0.17230545054087787,0.6799783591565951,444.66925,0.0,189,122,5,3,0,0,20240101,10000,sensitivity;pooled_pos_cap
profit,trim_pos_top_1pct,womens,0.15985164548940095,0.05550900844885323,0.2518780993988409,0.0,499.0,189,122,0,0,2,2,20240101,10000,sensitivity;pooled_pos_rank_trim;ties_by_id
spend,trim_pos_top_1pct,womens,0.4246291137235022,0.1637725211221331,0.6546952484971025,0.0,499.0,189,122,0,0,2,2,20240101,10000,sensitivity;pooled_pos_rank_trim;ties_by_id
spend,log1p_spend,womens,0.014209143517219424,0.006913662519058348,0.021567646022395578,0.0,0.0,189,122,0,0,0,0,20240101,10000,secondary_scale_not_dollars
profit,remove_top_by_rank_0.001,womens,0.1350028231005004,0.05775998646567418,0.21629693110914885,0.0,0.0,189,122,0,0,22,22,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.001,womens,0.3625070577512511,0.1693999661641852,0.565742327772872,0.0,0.0,189,122,0,0,22,22,20240101,10000,rank_remove_within_arm;ties_by_id
profit,remove_top_by_rank_0.005,womens,0.04278366827843702,0.012859684546095061,0.08173508256813256,0.0,0.0,189,122,0,0,107,107,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.005,womens,0.13195917069609256,0.05714921136523763,0.22933770642033136,0.0,0.0,189,122,0,0,107,107,20240101,10000,rank_remove_within_arm;ties_by_id
profit,remove_top_by_rank_0.01,womens,-0.009999999999999998,-0.009999999999999998,-0.008866858735181596,0.0,0.0,189,122,0,0,214,214,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.01,womens,0.0,0.0,0.002832853162046002,0.0,0.0,189,122,0,0,214,214,20240101,10000,rank_remove_within_arm;ties_by_id
profit,remove_top_by_rank_0.02,womens,-0.009999999999999998,-0.009999999999999998,-0.009999999999999998,0.0,0.0,189,122,0,0,428,427,20240101,10000,rank_remove_within_arm;ties_by_id
spend,remove_top_by_rank_0.02,womens,0.0,0.0,0.0,0.0,0.0,189,122,0,0,428,427,20240101,10000,rank_remove_within_arm;ties_by_id
