arm,x_removed,tau_hat,ci_low,ci_high
mens,0.0,0.29793086235781463,0.18663282215492238,0.4124650664475035
womens,0.0,0.1597648863746387,0.059634590894752156,0.2639227039517962
mens,0.001,0.24986579624295904,0.1808741254853928,0.3197181952490822
womens,0.001,0.1350028231005004,0.07508038778125148,0.1969987435395558
mens,0.005,0.11767507131432864,0.09539358042209183,0.1410086891727716
womens,0.005,0.04278366827843702,0.028734259127035356,0.05757635897361096
mens,0.01,0.02014213246100603,0.012180059735457266,0.028672924666951125
womens,0.01,-0.009999999999999998,-0.009999999999999998,-0.009999999999999998
mens,0.02,-0.009999999999999998,-0.009999999999999998,-0.009999999999999998
womens,0.02,-0.009999999999999998,-0.009999999999999998,-0.009999999999999998
